vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.04,79.99,100
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.89,79.17,1998
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.88,79.61,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.63,79.36,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.49,78.59,100
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.48,79.01,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.47,79.18,2011
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.47,79.27,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.38,79.27,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.27,78.71,100
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.25,79.04,50
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.15,78.65,2011
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79.14,78.4,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79,78.68,420
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,79,78.6,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.99,78.95,50
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.78,78.65,420
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.7,78.05,1998
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.6,78.09,1998
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.56,78.26,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.52,78.03,420
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.28,77.76,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.12,78.29,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,78.08,77.39,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.85,77.59,50
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.81,77.59,420
