vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.015,1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,21.93,22.37,100
0,0.05,0.5,60000,0.03,0.0225,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,55.49,55.54,100
0,0.05,0.5,60000,0.03,0.0225,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.48,58.67,100
0,0.05,0.5,60000,0.03,0.0225,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.18,62.32,100
0,0.05,0.5,60000,0.03,0.0225,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,61.02,61.18,100
0,0.05,0.5,60000,0.03,0.0225,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,60.46,60.59,100
0,0.05,0.5,60000,0.03,0.0225,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,54.72,54.93,100
0,0.05,0.5,60000,0.03,0.0225,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,48.72,48.24,100
0,0.05,0.5,60000,0.03,0.0225,0.1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,43.69,43.56,100
0,0.05,0.5,60000,0.03,0.0225,0.5,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,28.67,28.45,100
0,0.05,0.5,60000,0.03,0.0225,1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,32.1,31.91,100
0,0.05,0.5,60000,0.03,0.015,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.22,51.32,420
0,0.05,0.5,60000,0.03,0.015,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,55.31,55.44,420
0,0.05,0.5,60000,0.03,0.015,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.96,58.11,420
0,0.05,0.5,60000,0.03,0.015,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,55.94,56.06,420
0,0.05,0.5,60000,0.03,0.015,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.71,59.89,420
0,0.05,0.5,60000,0.03,0.015,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,52.19,52.32,420
0,0.05,0.5,60000,0.03,0.015,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,43.91,45.58,420
